Genus TaxID	Genus	Representative organism TaxID	Representative organism	Representative Organism Rank	Refseq ID
1234	Nitrospira	330214	Candidatus Nitrospira defluvii	species	NC_014355.1
34093	Simkania	331113	Simkania negevensis Z	no rank	NC_015713.1
914	Nitrosomonas	335283	Nitrosomonas eutropha C91	no rank	NC_008344.1
29526	Syntrophobacter	335543	Syntrophobacter fumaroxidans MPOB	no rank	NC_008554.1
18	Pelobacter	338963	Pelobacter carbinolicus DSM 2380	no rank	NC_007498.2
53246	Pseudoalteromonas	342610	Pseudoalteromonas atlantica T6c	no rank	NC_008228.1
379	Rhizobium	347834	Rhizobium etli CFN 42	no rank	NC_007761.1
1060	Rhodobacter	349102	Rhodobacter sphaeroides ATCC 17025	no rank	NC_009428.1
522	Acidiphilium	349163	Acidiphilium cryptum JF-5	no rank	NC_009484.1
158481	Hahella	349521	Hahella chejuensis KCTC 2396	no rank	NC_007645.1
28231	Geobacter	351605	Geobacter uraniireducens Rf4	no rank	NC_009483.1
28048	Acidothermus	351607	Acidothermus cellulolyticus 11B	no rank	NC_008578.1
171	Leptospira	355276	Leptospira borgpetersenii serovar Hardjo-bovis str L550	no rank	"NC_008508.1,NC_008509.1"
55080	Brevibacillus	358681	Brevibacillus brevis NBRC 100599	no rank	NC_012491.1
52972	Polaromonas	365044	Polaromonas naphthalenivorans CJ2	no rank	NC_008781.1
174951	Ramlibacter	365046	Ramlibacter tataouinensis TTB310	no rank	NC_015677.1
45989	Methanoculleus	368407	Methanoculleus marisnigri JR1	no rank	NC_009051.1
168694	Salinispora	369723	Salinispora tropica CNB-440	no rank	NC_009380.1
191373	Pelotomaculum	370438	Pelotomaculum thermopropionicum SI	no rank	NC_009454.1
1301	Streptococcus	373153	Streptococcus pneumoniae D39	no rank	NC_008533.1
29580	Janthinobacterium	375286	Janthinobacterium sp Marseille	species	NC_009659.1
2425	Teredinibacter	377629	Teredinibacter turnerae T7901	no rank	NC_012997.1
40	Stigmatella	378806	Stigmatella aurantiaca DW43-1	no rank	NC_014623.1
173479	Gemmatimonas	379066	Gemmatimonas aurantiaca T-27	no rank	NC_012489.1
642	Aeromonas	380703	Aeromonas hydrophila subsp hydrophila ATCC 7966	no rank	NC_008570.1
120961	Roseiflexus	383372	Roseiflexus castenholzii DSM 13941	no rank	NC_009767.1
246875	Algoriphagus	388413	Algoriphagus machipongonensis	species	NZ_CM001023.1
32008	Burkholderia	391038	Burkholderia phymatum STM815	no rank	"NC_010622.1,NC_010623.1"
2433	Roseobacter	391595	Roseobacter litoralis Och 149	no rank	NC_015730.1
2263	Thermococcus	391623	Thermococcus barophilus MP	no rank	NC_014804.1
53945	Octadecabacter	391626	Octadecabacter antarcticus 307	no rank	NC_020911.1
364316	Verminephrobacter	391735	Verminephrobacter eiseniae EF01-2	no rank	NC_008786.1
13687	Sphingomonas	392499	Sphingomonas wittichii RW1	no rank	NC_009511.1
22	Shewanella	392500	Shewanella woodyi ATCC 51908	no rank	NC_010506.1
59753	Alcanivorax	393595	Alcanivorax borkumensis SK2	no rank	NC_008260.1
74317	Maricaulis	394221	Maricaulis maris MCS10	no rank	NC_008347.1
96	Gallionella	395494	Gallionella capsiferriformans ES-2	no rank	NC_014394.1
88	Leptothrix	395495	Leptothrix cholodnii SP-6	no rank	NC_010524.1
43988	Cyanothece	395961	Cyanothece sp PCC 7425	species	NC_011884.1
532	Beijerinckia	395963	Beijerinckia indica subsp indica ATCC 9039	no rank	NC_010581.1
120652	Methylocella	395965	Methylocella silvestris BL2	no rank	NC_011666.1
106633	Thioalkalivibrio	396595	Thioalkalivibrio sp K90mix	species	NC_013889.1
237	Flavobacterium	402612	Flavobacterium psychrophilum JIP0286	no rank	NC_009613.3
256616	Parvibaculum	402881	Parvibaculum lavamentivorans DS-1	no rank	NC_009719.1
2370	Xylella	405440	Xylella fastidiosa M12	no rank	NC_010513.1
