Genus TaxID	Genus	Representative organism TaxID	Representative organism	Representative Organism Rank	Refseq ID
44471	Microcoleus	1173027	Microcoleus sp PCC 7113	species	NC_019738.1
958	Bdellovibrio	1184267	Bdellovibrio exovorus JSS	no rank	NC_020813.1
1386	Bacillus	1204343	Bacillus subtilis BEST7613	no rank	NC_019948.1
517	Bordetella	1208658	Bordetella bronchiseptica MO149	no rank	NC_018829.1
1883	Streptomyces	1214242	Streptomyces collinus Tu 365	no rank	NC_021985.1
222	Achromobacter	1216976	Achromobacter xylosoxidans NBRC 15126  ATCC 27061	no rank	NC_023061.1
34072	Variovorax	1246301	Variovorax paradoxus B4	no rank	"NC_022247.1,NC_022234.1"
590	Salmonella	1271863	Salmonella enterica subsp enterica serovar Cubana str CFSAN002050	no rank	NC_021818.1
194	Campylobacter	1273173	Campylobacter coli CVM N29710	no rank	NC_022347.1
32	Myxococcus	1278073	Myxococcus stipitatus DSM 14675	no rank	NC_020126.1
352	Azotobacter	1283330	Azotobacter vinelandii CA	no rank	NC_021149.1
157	Treponema	1291379	Treponema pedis str T A4	no rank	NC_022097.1
226	Alteromonas	1300259	Alteromonas macleodii str Ionian Sea UM4b	no rank	NC_021714.1
1763	Mycobacterium	1304279	Mycobacterium tuberculosis str HaarlemNITR202	no rank	NC_021192.1
209	Helicobacter	1321940	Helicobacter pylori UM066	no rank	NC_021218.2
129337	Geobacillus	1345697	Geobacillus sp JF8	species	NC_022080.4
613	Serratia	1348660	Serratia plymuthica S13	no rank	NC_021659.1
13134	Magnetospirillum	1430440	Magnetospirillum gryphiswaldense MSR-1 v2	no rank	NC_023065.1
